cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
1054.0,15560.0,393.0,43.0,8077.0,452.0,7.0,131.0,13243.0,6868.0,432.0,989.0,46.0,1031.0,9337.0,44.0,3.0,205.0,242.0,134.0,7720.0,320.0,7482.0,1949.0,2466.0,860.0,537.0,13873.0,771.0,8737.0,18803.0,121809.0,2020-10-20
1062.0,4289.0,819.0,265.0,5058.0,451.0,26.0,131.0,29837.0,4325.0,438.0,1478.0,57.0,1284.0,11705.0,58.0,7.0,252.0,175.0,109.0,8439.0,0.0,8536.0,1856.0,3920.0,1567.0,728.0,37889.0,321.0,195.0,16981.0,142258.0,2020-10-19
2040.0,7995.0,1096.0,0.0,8715.0,500.0,35.0,160.0,32427.0,5587.0,482.0,1474.0,69.0,1251.0,10925.0,188.0,22.0,228.0,0.0,142.0,8105.0,0.0,9622.0,2153.0,3952.0,1968.0,898.0,0.0,697.0,0.0,16171.0,116902.0,2020-10-18
1691.0,13477.0,1131.0,198.0,11102.0,418.0,37.0,139.0,25086.0,7830.0,503.0,1791.0,92.0,998.0,10009.0,148.0,18.0,281.0,227.0,204.0,7978.0,183.0,7705.0,2608.0,4026.0,2075.0,834.0,0.0,1179.0,3087.0,15635.0,120690.0,2020-10-17
1396.0,11818.0,793.0,51.0,9720.0,430.0,33.0,291.0,30621.0,7334.0,452.0,1293.0,80.0,1186.0,8803.0,114.0,22.0,255.0,214.0,122.0,7779.0,162.0,8099.0,2101.0,4013.0,1929.0,746.0,15186.0,902.0,2690.0,18978.0,137613.0,2020-10-16
1606.0,12293.0,748.0,83.0,9543.0,492.0,39.0,204.0,22591.0,6638.0,435.0,950.0,89.0,1084.0,7332.0,102.0,0.0,139.0,190.0,112.0,7271.0,152.0,6526.0,2072.0,4016.0,1410.0,707.0,13318.0,968.0,2724.0,19724.0,123558.0,2020-10-15
1171.0,12577.0,372.0,0.0,8326.0,290.0,25.0,287.0,12993.0,5132.0,408.0,920.0,86.0,808.0,5898.0,75.0,6.0,118.0,109.0,111.0,7368.0,115.0,5068.0,1208.0,3109.0,531.0,399.0,11970.0,916.0,1439.0,17232.0,99067.0,2020-10-14
608.0,9735.0,181.0,61.0,4311.0,389.0,18.0,214.0,8505.0,4122.0,294.0,1285.0,56.0,823.0,4619.0,95.0,11.0,126.0,371.0,94.0,6844.0,303.0,4394.0,1249.0,2069.0,504.0,167.0,7118.0,637.0,4057.0,13972.0,77232.0,2020-10-13
1298.0,2403.0,508.0,0.0,3103.0,340.0,19.0,149.0,16101.0,2467.0,280.0,913.0,66.0,814.0,5456.0,74.0,0.0,159.0,0.0,68.0,6368.0,0.0,4178.0,1090.0,2880.0,1054.0,411.0,27856.0,161.0,0.0,12872.0,91088.0,2020-10-12
901.0,4310.0,486.0,35.0,4633.0,444.0,37.0,269.0,26896.0,3483.0,306.0,1068.0,87.0,1011.0,5724.0,89.0,0.0,205.0,0.0,95.0,6493.0,0.0,5300.0,1646.0,3517.0,1887.0,380.0,0.0,509.0,0.0,15165.0,84976.0,2020-10-11
1181.0,7789.0,457.0,33.0,8617.0,482.0,49.0,235.0,20339.0,4721.0,391.0,1374.0,106.0,617.0,5372.0,137.0,2.0,133.0,141.0,100.0,5959.0,209.0,4739.0,1394.0,3186.0,1184.0,363.0,0.0,783.0,1485.0,13864.0,85442.0,2020-10-10
1221.0,6588.0,542.0,21.0,5397.0,446.0,45.0,296.0,18129.0,4516.0,434.0,1176.0,95.0,502.0,4458.0,109.0,6.0,142.0,100.0,75.0,5813.0,228.0,4280.0,1278.0,3130.0,1037.0,387.0,12788.0,834.0,2243.0,17540.0,93856.0,2020-10-09
947.0,6803.0,363.0,21.0,5338.0,331.0,56.0,120.0,18746.0,4058.0,406.0,932.0,91.0,609.0,3677.0,67.0,0.0,117.0,140.0,64.0,4979.0,180.0,3003.0,944.0,2958.0,877.0,356.0,12423.0,831.0,0.0,14162.0,83599.0,2020-10-08
549.0,5687.0,287.0,29.0,4456.0,322.0,42.0,227.0,10489.0,2828.0,399.0,816.0,101.0,424.0,2677.0,68.0,1.0,81.0,54.0,68.0,4517.0,147.0,2236.0,427.0,2121.0,320.0,194.0,10491.0,786.0,699.0,14542.0,66085.0,2020-10-07
